Date,User,Tweet
2022-12-27 13:41:37+00:00,GonCarlos72,"Prestasi Pak  Ganjar tidak perlu di ragukan lagi, Mantap.  Mantap sekali Pemerintah sekarang  https://t.co/GMF0ArJyBB #GanjarHebat"
2022-12-27 13:41:36+00:00,FeradhiaTika,"Kehidupan pribadi Ganjar bisa menjadi pemantik generasi muda dan mahasiswa untuk memiliki semangat dan daya juang untuk menempuh pendidikan

Christmas | Liverpool | Gakpo | Effort | CutiePie 2 is Coming | Run BTS | Fajar | #ตัวอย่างนิ่งเฮีย2you | #bbrightvc | #BETHESUNinJKT https://t.co/MspTTOOG6K"
2022-12-27 13:41:36+00:00,31_gaviria,Presiden  Ganjar mensejahterakan petani dan masyarakat kecil di Kalimantan Tengah  Presiden  Ganjar seorang pemimpin yang yang #GanjarHebat
2022-12-27 13:41:35+00:00,Tehmanis5675,Pak Ganjar pemimpin yang banyak disukai oleh semua rakyat  #ganjaruntukindonesia https://t.co/Aycwl3A5qK
2022-12-27 13:41:32+00:00,alelabella4,"Mantab Pak  Ganjar, Terbukti Bekerja Bukan Cuma Janji apalagi di Sumatera Selatan!!!  Pembangunan Infrastruktur Di Era Pak  Ga #GanjarHebat"
2022-12-27 13:41:32+00:00,DiiiDodi,Gas terus  Ganjar bangun Infrastruktur  Dengan dukung pemerintahan indonesia kita dukung kemajuan bangsa  https://t.co/hqguCTCKsm #GanjarHebat
2022-12-27 13:41:31+00:00,bakewellisfat,"Prestasi Pak  Ganjar tidak perlu di ragukan lagi, Mantap.  Mantap sekali Pemerintah sekarang  https://t.co/pJhvD1R51O #GanjarHebat"
2022-12-27 13:41:30+00:00,PrietoGiseth,Sumatera Selatan mendukung Kesejahteraan bisa terwujud asalkan kita bersama Pak  Ganjar  Kita warga Sumatera Selatan bisa sali #GanjarHebat
2022-12-27 13:41:27+00:00,alexxdavi,Kami sangat mendukung pemerintahan Pak  Ganjar  Masyarakat sangat mengapresiasi keberhasilan presiden  Ganjar  https://twitter #GanjarHebat
2022-12-27 13:41:27+00:00,adelaperezgarc2,"Terimakasih atas pembangunannya Presiden  Ganjar, kami di Kalimantan Tengah tolong diingat y pak  Inilah pemimpin kami Preside #GanjarHebat"
2022-12-27 13:41:26+00:00,josemed70081261,Masyarakat Kalimantan Tengah bangga dengan Presiden  Ganjar  Rakyat Indonesia semakin terbantu dengan kebijakan Presiden  Ganj #GanjarHebat
2022-12-27 13:41:26+00:00,CmpunkSilva,"Sumatera Selatan mendukung Pak  Ganjar, karenanya Ekonomi Indonesia Tumbuh diatas 5 Persen  Presiden  Ganjar dikagumi masyarak #GanjarHebat"
2022-12-27 13:41:25+00:00,coldplayersmex,pemerintahan saat ini sangat membangun Indonesia  Berikan dukungan terbaik untuk pak  Ganjar  https://t.co/6GtfIL2C2z #GanjarHebat
2022-12-27 13:41:25+00:00,77657281f3324d0,Presiden  Ganjar sederhana dan berprestasi dalam segala hal  indonesia makmur pak presiden tetap semangat  https://t.co/R3xFbQfA3k #GanjarHebat
2022-12-27 13:41:24+00:00,alghamdi20098,Hayuukkk berikan dukungan bersama untuk kebijakan ini  Masyarakat Yogyakarta sangat bangga dengan Pak  Ganjar  https://twitter #GanjarHebat
2022-12-27 13:41:23+00:00,Zhoralhop41gmai,Indonesia maju jika presidennya  Ganjar hehe  Yuk dukung setiap kebijakan pemerintah  https://t.co/13F9DoreFh #GanjarHebat
2022-12-27 13:41:23+00:00,PejuangNKRI03,@CNNIndonesia Pak Jokowi luar biasa. Bisa meyakinkan dunia internasional bahwa kejadian Kanjuruhan bukan pelanggaran HAM berat. Pak Presiden juga bisa meyakinkan FIFA tidak menjatuhkan sanksi ke PSSI
2022-12-27 13:41:22+00:00,AzuulMalen,"Presiden  Ganjar memajukan perekonomian termasuk Sumatera Selatan  Presiden  Ganjar, adalah presiden yang menjunjung nilai-nil #GanjarHebat"
2022-12-27 13:41:16+00:00,colaa_colaaa,@GanjaranApp Perayaan natal berjalan lancar pak Ganjar terus meninjau dan memastikan semua aman
2022-12-27 13:41:09+00:00,alesson2014,Mantap Pak  Ganjar kami Bangga  Kinerja Pemerintah di Bawah Pak  Ganjar sangat Memuaskan #GanjarPresidenku https://twitte #GanjarPresidenku
2022-12-27 13:41:09+00:00,Bearbreand13,@GanjaranApp pak ganjar emang udah cocok bgt untuk mnjd pemimpin negara ini
2022-12-27 13:41:08+00:00,justforlol2000,"Ganjar Bapak Presiden Terhebat, rakyat Kalimantan Tengah mendukungmu  Terima Kasih Presiden  Ganjar atas dedikasimu, kam #GanjarPresidenku"
2022-12-27 13:41:08+00:00,alexkennedyy10,Bersama wujudkan Indonesia sejahtera  Bapak  Ganjar sudah selalu dihati warga Yogyakarta #GanjarPresidenku https://twitte #GanjarPresidenku
2022-12-27 13:41:07+00:00,aleyna_babal,Sudah terbukti Presiden  Ganjar banyak prestasi  Kinerja  Ganjar tidak perlu diragukan lagi #GanjarPresidenku https://twi #GanjarPresidenku
2022-12-27 13:41:06+00:00,xx888889,Ganjar cerminan Indonesia maju  Mendukung semua kebijakan pemerintah #GanjarPresidenku https://t.co/Mz6P5pvI1y #GanjarPresidenku
2022-12-27 13:41:06+00:00,joubert_cardoso,Presiden  Ganjar menjadikan Indonesia lebih baik dan maju  Kita bangga di pimpin Pak  Ganjar  https://t.co/o1dpIo3Hss #GanjarHebat
