Date,User,Tweet
2022-12-28 01:31:17+00:00,bungalotus25,@sapujagad_eyang @aniesbaswedan gk ethis dy itu utk hasratnya apa pun di bablas n di mkn..dg kebohongannya
2022-12-28 01:31:03+00:00,JONG_JING,"@LANGKAHANIES @aniesbaswedan @RamliRizal @ReflyHZ @msaid_didu @rockygerung_rg @UbedilahB @satriohendri @NasDem @Metro_TV @suryapaloh51 @Surya_Paloh @pranandapaloh @_PranandaSP_ @NajwaShihab akhirnya menyusul satu per satu ndak tahan ngadepin para pasukan e @aniesbaswedan lawan @JONG_JING 🤣🤣🤣
apakah berikutnya capres @aniesbaswedan yang harus turun tangan ngeblokir gua ??? 🤣🤣🤣
👇👇👇 https://t.co/q2OOiJBZS0"
2022-12-28 01:30:53+00:00,Ade1103,@Dedenopyana @WagimanDeep_IX Hasil kerja pak lambok x 🤣🤣🤣 kl ga viral ga dikerjain 🤣🤣🤣🤣 nis...@aniesbaswedan https://t.co/GloObHACik
2022-12-28 01:30:31+00:00,ElinaWinawan,WARGA JAMBI MENOLAK ANIES BASWEDAN #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas https://t.co/4qbyHOR15f
2022-12-28 01:30:27+00:00,emak_nyinyirr,WARGA JAMBI MENOLAK ANIES BASWEDAN #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas https://t.co/fCRLhBjVs0
2022-12-28 01:30:23+00:00,emak_nyinyirr,ANIES BASWEDAN SI TUKANG MELECEHKAN BUDAYA #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas https://t.co/rbeOVa2Gx9
2022-12-28 01:30:20+00:00,aryan_cw,@Kalimalang8 @BosPurwa @aniesbaswedan Cocot doang!!! Hanya orang bodok saja yg pilih si yaman bangsat ini
2022-12-28 01:30:15+00:00,emak_nyinyirr,ANIES BASWEDAN TIDAK BISA MENGURUS JAKARTA #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas https://t.co/ftjjZ8FY11
2022-12-28 01:30:14+00:00,emak_nyinyirr,ANIES BASWEDAN TOLOL! LENGSER TINGGALKAN UTANG #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas https://t.co/bkJVLQgBiX
2022-12-28 01:30:14+00:00,emak_nyinyirr,5 TAHUN KEGAGALAN ANIES BASWEDAN DI JAKARTA #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas https://t.co/L9RMT4YO7Y
2022-12-28 01:30:13+00:00,emak_nyinyirr,ANIES BASWEDAN TOLOL! GA BISA JADI PEMIMPIN #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas https://t.co/ByjCwUQe14
2022-12-28 01:30:08+00:00,AdeSaung,"@Tita83079013 @aniesbaswedan Ya memang harus begitu,,,dan manusia tidak ber hak menghakimi agama , kepercayaan yang dianut oleh manusia berdasarkan keyakinan nya,,,
Lebih baik gak usah nyampah deg,,malu maluin bangsa Indonesia aje 🤣🤣🤣🤣🤣🤣"
2022-12-28 01:30:05+00:00,ditta_kherang,"WONG SOLO MENOLAK KERAS ANIES BASWEDAN!

#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal
#PribumiLebihBerkualitas https://t.co/9NVyxNdXAq"
2022-12-28 01:30:03+00:00,SariYolanda_,"Bahaya!! Anies Baswedan punya niat ga bener, jangan sampai kita menjadi kacung mereka #HTIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut #TenggelamkanAniesNasdem #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas https://t.co/3UNpvC5Gup"
2022-12-28 01:30:03+00:00,Dwi_Puspita_,"Bahaya!! Anies Baswedan punya niat ga bener, jangan sampai kita menjadi kacung mereka #HTIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut #TenggelamkanAniesNasdem #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas https://t.co/h8uQvEcqKW"
2022-12-28 01:29:49+00:00,PejuangReceh167,@BosPurwa @aniesbaswedan https://t.co/2Q3lbCt51x
2022-12-28 01:29:47+00:00,mettyalfriza,@BosPurwa @aniesbaswedan Smart!
